file_name	sentence	label
20728536_v0.xml	Expression of a @Gene$ homologue is altered in sexual mosaics of Ostrinia scapulalis moths infected with @Species$.	0
20728536_v0.xml	This finding provides the first evidence that @Species$ manipulates the sex of its host by interfering either with the sex-specific splicing of @Gene$ itself or with another upstream sex determination process.	0
27883266_v0.xml	Silencing of @Gene$, insect intestinal mucin and sericotropin genes by bacterially produced double-stranded RNA affects larval growth and development in @Species$ and Helicoverpa armigera.	0
27883266_v0.xml	Silencing of @Gene$, insect intestinal mucin and sericotropin genes by bacterially produced double-stranded RNA affects larval growth and development in Plutella xylostella and @Species$.	0
27883266_v0.xml	Silencing of ecdysone receptor, insect intestinal @Gene$ and sericotropin genes by bacterially produced double-stranded RNA affects larval growth and development in @Species$ and Helicoverpa armigera.	0
27883266_v0.xml	Silencing of ecdysone receptor, insect intestinal @Gene$ and sericotropin genes by bacterially produced double-stranded RNA affects larval growth and development in Plutella xylostella and @Species$.	0
27883266_v0.xml	Silencing of ecdysone receptor, insect intestinal mucin and @Gene$ genes by bacterially produced double-stranded RNA affects larval growth and development in @Species$ and Helicoverpa armigera.	0
27883266_v0.xml	Silencing of ecdysone receptor, insect intestinal mucin and @Gene$ genes by bacterially produced double-stranded RNA affects larval growth and development in Plutella xylostella and @Species$.	0
30719783_v0.xml	The midgut V-ATPase subunit A gene is associated with toxicity to @Gene$ and crystal 1Ca-expressing transgenic rice in @Species$.	0
30719783_v0.xml	The midgut V-ATPase subunit A gene is associated with toxicity to crystal 2Aa and @Gene$-expressing transgenic rice in @Species$.	0
30719783_v0.xml	Transgenic rice expressing Cry1A, @Gene$ and Cry1C toxins have been developed that are lethal to @Species$, a devastating insect pest of rice in China.	0
30719783_v0.xml	Transgenic rice expressing Cry1A, Cry2A and @Gene$ toxins have been developed that are lethal to @Species$, a devastating insect pest of rice in China.	0
30719783_v0.xml	Transgenic rice expressing @Gene$, Cry2A and Cry1C toxins have been developed that are lethal to @Species$, a devastating insect pest of rice in China.	0
30719783_v0.xml	In this study, we tested the hypothesis that V-ATPase subunit A contributes to the action of @Gene$/1Ac, Cry2Aa and Cry1Ca toxins in @Species$.	0
30719783_v0.xml	In this study, we tested the hypothesis that V-ATPase subunit A contributes to the action of Cry1Ab/1Ac, @Gene$ and Cry1Ca toxins in @Species$.	0
30719783_v0.xml	In this study, we tested the hypothesis that V-ATPase subunit A contributes to the action of Cry1Ab/1Ac, Cry2Aa and @Gene$ toxins in @Species$.	0
