file_name	sentence	label
12510900_v0.xml	In situ hybridization to the @Gene$ locus on polytene chromosome 3L of @Species$.	1
12510900_v0.xml	In situ hybridization of the @Gene$ probe to polytene chromosomes of @Species$ localizes the gene to the left arm of chromosome 3 (3L) in region 45C.	1
12510900_v0.xml	As a first step, here we report the cloning of fragments of the @Gene$ gene from both @Species$ and An.	1
12510900_v0.xml	We are interested in generating a Y-autosome translocation of the @Gene$ (Rdl) locus in the malaria vector mosquito @Species$ Liston (Diptera: Culicidae), for use in sterile insect release.	1
11267894_v0.xml	In database searches in the genome database of @Species$, a gene with the same gene organization and promoter structure was identified, likely the dipteran homologue of muscle @Gene$.	1
11267894_v0.xml	Muscle @Gene$ (FABP) is a major cytosolic protein in flight muscle of the desert locust, @Species$.	1
12421412_v0.xml	@Gene$ cytochrome p450 monooxygenases from @Species$ and Papilio glaucus: potential contributions of sequence divergence to host plant associations.	1
12421412_v0.xml	@Gene$ cytochrome p450 monooxygenases from Papilio canadensis and @Species$: potential contributions of sequence divergence to host plant associations.	1
12421412_v0.xml	CYP6B @Gene$ monooxygenases from @Species$ and Papilio glaucus: potential contributions of sequence divergence to host plant associations.	1
12421412_v0.xml	CYP6B @Gene$ monooxygenases from Papilio canadensis and @Species$: potential contributions of sequence divergence to host plant associations.	1
12421412_v0.xml	Two groups of furanocoumarin-inducible @Gene$ genes, the CYP6B4 group and the CYP6B17 group, characterized in two closely related tiger swallowtails, @Species$ and Papilio canadensis, are induced to different extents, with generally higher levels of CYP6B transcripts in P. glaucus.	1
12421412_v0.xml	Two groups of furanocoumarin-inducible cytochrome p450 genes, the @Gene$ group and the CYP6B17 group, characterized in two closely related tiger swallowtails, @Species$ and Papilio canadensis, are induced to different extents, with generally higher levels of CYP6B transcripts in P. glaucus.	1
12421412_v0.xml	Two groups of furanocoumarin-inducible cytochrome p450 genes, the CYP6B4 group and the @Gene$ group, characterized in two closely related tiger swallowtails, @Species$ and Papilio canadensis, are induced to different extents, with generally higher levels of CYP6B transcripts in P. glaucus.	1
12421412_v0.xml	Two groups of furanocoumarin-inducible @Gene$ genes, the CYP6B4 group and the CYP6B17 group, characterized in two closely related tiger swallowtails, Papilio glaucus and @Species$, are induced to different extents, with generally higher levels of CYP6B transcripts in P. glaucus.	1
12421412_v0.xml	Two groups of furanocoumarin-inducible cytochrome p450 genes, the @Gene$ group and the CYP6B17 group, characterized in two closely related tiger swallowtails, Papilio glaucus and @Species$, are induced to different extents, with generally higher levels of CYP6B transcripts in P. glaucus.	1
12421412_v0.xml	Two groups of furanocoumarin-inducible cytochrome p450 genes, the CYP6B4 group and the @Gene$ group, characterized in two closely related tiger swallowtails, Papilio glaucus and @Species$, are induced to different extents, with generally higher levels of CYP6B transcripts in P. glaucus.	1
